feature,stayed_mean,dropout_mean,cohens_d
nota10_hash,7.46,7.0,0.435
resource_events_2022_10,62.07,37.09,0.371
n_resource_days_2022_10,16.64,10.97,0.337
pft_total_minutes_2022_10,1860.05,1182.95,0.333
pft_visits_2022_10,43.51,27.88,0.327
pft_days_logged_2022_10,24.16,16.38,0.314
n_wifi_days_2022_9,54.31,37.93,0.301
resource_events_2022_9,31.51,20.72,0.291
n_wifi_days_2022_10,85.25,62.79,0.28
n_resource_days_2022_9,10.13,7.27,0.262
pft_events_2022_10,186.3,129.29,0.252
pft_events_2022_9,100.93,70.39,0.241
pft_total_minutes_2022_9,1002.54,729.63,0.235
pft_visits_2022_9,24.48,17.92,0.228
pft_days_logged_2022_9,15.17,11.56,0.215
pft_assignment_submissions_2022_9,0.73,0.46,0.193
pft_test_submissions_2022_9,0.78,0.49,0.141
pft_assignment_submissions_2022_10,1.76,1.35,0.136
pft_test_submissions_2022_10,2.15,3.0,-0.091
