month,stayed_mean,dropout_mean,ratio
9/22,100.93160090846669,70.3855421686747,1.43
10/22,186.30153699889084,129.289156626506,1.44
11/22,192.6467543442666,109.17804551539491,1.76
12/22,153.56641842285956,82.93975903614458,1.85
1/23,189.54206940263032,124.2764390896921,1.53
2/23,125.87851898801036,81.69678714859438,1.54
3/23,172.84070142079966,92.49732262382865,1.87
4/23,116.00517614746738,59.31593038821954,1.96
5/23,191.5155020334865,105.74564926372155,1.81
6/23,172.71272381556014,86.10240963855422,2.01
7/23,4.791475202028205,2.1840696117804552,2.19
