feature_a,feature_b,r
pft_events_2022_9,pft_days_logged_2022_9,0.84
pft_events_2022_9,pft_visits_2022_9,0.87
pft_events_2022_9,pft_total_minutes_2022_9,0.87
pft_events_2022_9,resource_events_2022_9,0.91
pft_events_2022_9,n_resource_days_2022_9,0.84
pft_events_2022_9,pft_events_2022_10,0.81
pft_days_logged_2022_9,pft_visits_2022_9,0.97
pft_days_logged_2022_9,pft_total_minutes_2022_9,0.97
pft_days_logged_2022_9,resource_events_2022_9,0.87
pft_days_logged_2022_9,n_resource_days_2022_9,0.96
pft_days_logged_2022_9,pft_days_logged_2022_10,0.88
pft_days_logged_2022_9,pft_visits_2022_10,0.85
pft_visits_2022_9,pft_total_minutes_2022_9,0.98
pft_visits_2022_9,resource_events_2022_9,0.87
pft_visits_2022_9,n_resource_days_2022_9,0.94
pft_visits_2022_9,pft_days_logged_2022_10,0.86
pft_visits_2022_9,pft_visits_2022_10,0.85
pft_total_minutes_2022_9,resource_events_2022_9,0.87
pft_total_minutes_2022_9,n_resource_days_2022_9,0.94
pft_total_minutes_2022_9,pft_events_2022_10,0.81
pft_total_minutes_2022_9,pft_days_logged_2022_10,0.87
pft_total_minutes_2022_9,pft_visits_2022_10,0.86
resource_events_2022_9,n_resource_days_2022_9,0.9
n_resource_days_2022_9,pft_days_logged_2022_10,0.88
n_resource_days_2022_9,pft_visits_2022_10,0.85
pft_events_2022_10,pft_days_logged_2022_10,0.89
pft_events_2022_10,pft_visits_2022_10,0.91
pft_days_logged_2022_10,pft_visits_2022_10,0.97
