student_id,dropout_probability,flagged_at_risk
cddc453acbe1,0.976,True
b6fc24a155eb,0.971,True
bd7b51620957,0.968,True
c68693bc1dbf,0.966,True
b20e86e8b68f,0.964,True
cb6e35995574,0.963,True
393e24e2ec4f,0.962,True
74649dadb933,0.961,True
4b1d823c1070,0.96,True
6e62185b8112,0.96,True
61ab5b2e8606,0.959,True
16ff73ff0757,0.959,True
52be808c956f,0.959,True
d95014dfac98,0.958,True
d29a07f2ba67,0.956,True
911394f435df,0.954,True
c1d074e7d710,0.954,True
08e5ccd06c43,0.951,True
79059cf5818a,0.951,True
5e08ca8f521e,0.951,True
c1c54f41bb86,0.949,True
1206bb339e70,0.949,True
0c0b7974b550,0.949,True
b39cd73b41d8,0.948,True
e7c614f849d2,0.948,True
4bac8c84f522,0.947,True
a76912467be7,0.947,True
f261154697a9,0.945,True
d2be72c986aa,0.945,True
e2615d9a44c6,0.945,True
5e5320db5973,0.944,True
e549a0e8ac5f,0.943,True
af7429daa4e3,0.941,True
853cff319cd8,0.94,True
2f5b21eba260,0.94,True
ee0f7e3719ea,0.939,True
baeb078760ba,0.939,True
357d35517f6f,0.939,True
366a73d282e2,0.937,True
47b1e81a6f6e,0.934,True
41f82570df9e,0.934,True
4040be1f6712,0.934,True
a2ee4f195f4c,0.934,True
03bc8bf278d1,0.933,True
7fe3b3d1b4df,0.933,True
5dbaa6ccee8e,0.932,True
afc1f34848d3,0.932,True
b0fe9f246b8c,0.931,True
0745b8a77f74,0.931,True
c361df3e607f,0.931,True
52a1631d0a33,0.93,True
18ee098d74d3,0.93,True
8c1430165fd2,0.93,True
7aaecf1522e3,0.929,True
ac42a92aa754,0.929,True
0c4dcc9bfa68,0.929,True
8e3ff113244e,0.928,True
e2663d0ec75b,0.927,True
3bd942e1b4c1,0.927,True
19cbef0b01e8,0.927,True
e34f81a27eb5,0.927,True
c182dce75c04,0.927,True
f5fdd24c82f4,0.926,True
15fe6d1984b4,0.925,True
5818ad6e677f,0.925,True
998d2f5f6a24,0.925,True
c3209fee7418,0.924,True
ec0627a4b380,0.924,True
159e225194cf,0.924,True
3eedd1d17f1d,0.923,True
f01dd46f23cb,0.923,True
16ed2ad6d736,0.922,True
5611a03853ba,0.922,True
b9bb04e6f37f,0.921,True
b381eb910d41,0.921,True
a9b1c83d532b,0.92,True
4a57468163c4,0.92,True
31db2a9d7afc,0.92,True
6ad757ef8d68,0.919,True
ed20b71aed55,0.919,True
b4c83846cd04,0.918,True
77f682e24a9a,0.918,True
792ca381e7ce,0.918,True
e5f9db7266d5,0.917,True
6916ffe4b1d3,0.917,True
dccbb299f512,0.916,True
fe8f915a461c,0.916,True
a5db5e699bd9,0.915,True
875786400dab,0.915,True
f803a35cea10,0.915,True
3b1a1d1ba843,0.915,True
9fbdec139567,0.914,True
3a334edba7fe,0.914,True
abea519c8764,0.914,True
db4c5228e0c6,0.913,True
dcedcd9f74c4,0.913,True
d8c092a7773c,0.913,True
1f48d6c577b0,0.913,True
cbd29ff879e6,0.912,True
cb3166540147,0.911,True
4609b2595cb7,0.911,True
599cea5e2eb2,0.911,True
66983630310a,0.91,True
f8b35cc45cdd,0.909,True
2a0377600939,0.909,True
3bc856394e6e,0.909,True
b665340253ad,0.909,True
8d42b4294c07,0.909,True
762029b4c004,0.909,True
e77ddfd53499,0.909,True
aed980747ba4,0.908,True
b6e0fa17826f,0.908,True
6fcf31451cba,0.908,True
96e15a93b8d4,0.908,True
b99344f5caf4,0.908,True
6cc59b11ed97,0.908,True
0e98775db34d,0.907,True
21596e20a71b,0.907,True
d9c4f2ad938a,0.907,True
dffa55dcdb0f,0.906,True
3036b359bf5f,0.905,True
a56c943bc02b,0.905,True
daf94ed614ef,0.903,True
e8570217d030,0.901,True
a2d2916e43ab,0.901,True
b59c8743d985,0.901,True
9fc93aa7d7a5,0.901,True
4ee331e95c4e,0.901,True
e8b4ca01a7f3,0.9,True
f56a3a28d6ea,0.9,True
0ba520509a1d,0.9,True
c901bc931ddb,0.899,True
1e51a299df97,0.898,True
c3a8c02d5279,0.898,True
038b1d6c9d58,0.898,True
4b3a0b8f94dd,0.897,True
d16518d69e4a,0.897,True
4d3c82914444,0.897,True
a25b15222cc5,0.896,True
40691e1a256b,0.896,True
99ced1eceed5,0.895,True
58f637eb2f5f,0.894,True
dcea4e0bfad3,0.892,True
ab194729c7fa,0.892,True
c615d47f3dce,0.892,True
ae0cae87e015,0.891,True
0440ea87bf02,0.891,True
8186c944b0a4,0.891,True
66e129e6a1d1,0.89,True
c242c60ebe7a,0.89,True
c310abf5e6cf,0.89,True
75f8afa383cd,0.889,True
3739c6e13e7e,0.889,True
a06a9aa08ed2,0.889,True
9435d6446e3b,0.888,True
3e78785e0539,0.888,True
2b7d01cab698,0.888,True
38e5f2200c59,0.887,True
7eb2239a5f1e,0.887,True
12db24400942,0.887,True
521578e6918b,0.887,True
314792c7cf0b,0.887,True
d88e508b21ff,0.886,True
adf23af7223b,0.886,True
e6b441421824,0.886,True
f6572e54e5c4,0.886,True
560ab1bf7b97,0.886,True
9551428a78da,0.885,True
5f6adf57bd81,0.885,True
3320d49cd8fa,0.884,True
41204ba73b5e,0.884,True
ed5e551772dc,0.884,True
d8a6e3d8b923,0.884,True
3c99d474539f,0.884,True
30f2bbbf3dc2,0.883,True
3851c460630b,0.882,True
61b46798a8e0,0.881,True
dc402867585c,0.881,True
af0135e20b38,0.881,True
417b84ddd439,0.881,True
7ad851e36313,0.88,True
51e620ddcd89,0.88,True
f43eda9968d2,0.879,True
ccf14758cbdf,0.879,True
1f488141b5c5,0.879,True
ffc819b2fccc,0.878,True
790fa22d40bf,0.878,True
b25dd61a5c67,0.878,True
42e79a820468,0.878,True
1bc10ab858d8,0.878,True
8d3fc005ca75,0.877,True
65132a1cd4a3,0.877,True
22e0fb3c9add,0.876,True
e84c38cd4e76,0.876,True
551583269abe,0.876,True
c43770c446aa,0.876,True
348d6ba34904,0.875,True
c5bbd2fa9ee3,0.875,True
2d31864bb055,0.875,True
ccbb140ff2cf,0.874,True
6e648d005ae7,0.874,True
0a2257b79997,0.874,True
f7d49b445fb4,0.873,True
286743059c18,0.873,True
fc857081f8fc,0.872,True
9c22ef6f24d7,0.871,True
dc1107321606,0.871,True
30df48f3c96e,0.87,True
9275bf499d19,0.869,True
39c7d5f747ad,0.869,True
9166895c13f6,0.868,True
95ecdb545f91,0.868,True
659088b54ea8,0.867,True
52bef2243ba6,0.867,True
716cfd2a6a57,0.867,True
301f56b5cd68,0.866,True
329318c875e5,0.866,True
8454b52f8b47,0.866,True
d46e7ce06395,0.866,True
b48d6765e64b,0.863,True
f26024ac5bdc,0.861,True
eeadd218a700,0.858,True
02ce4ba4d493,0.858,True
485dfe3c9512,0.857,True
f0e48969e361,0.856,True
99667d4cc299,0.856,True
109f4f57134f,0.855,True
fc46cf8a76d0,0.855,True
9cf588aabe4e,0.854,True
19bd29dd704f,0.854,True
6ff5fb273c48,0.854,True
a1475293106d,0.854,True
ddebbbd9b30a,0.853,True
86acb1d264c9,0.852,True
b0f494a7077f,0.852,True
faf2404d6145,0.851,True
840f24ba05a9,0.849,True
c3f6414f8f2d,0.848,True
05acfc1da148,0.848,True
fb30982d94b9,0.848,True
168d703f0d12,0.848,True
5ba4a83ac1e4,0.847,True
a0fe6b176415,0.847,True
5c71920bb59d,0.846,True
d205bead7a53,0.846,True
d8c92e267d96,0.845,True
0b4947ccdacd,0.844,True
ad92b4190c59,0.844,True
2fc480a620c7,0.844,True
0337c4b66783,0.842,True
72726c9df5d2,0.841,True
9715770340fd,0.841,True
5952fcaf33cd,0.84,True
175da8fd312c,0.84,True
9a2689de086b,0.838,True
8ef1ebf08d21,0.838,True
5a1a81e3cd6a,0.837,True
850d4312ca9d,0.837,True
57acc3495777,0.837,True
9ef64754083c,0.836,True
c87ae89aac8e,0.836,True
35e4718c950e,0.835,True
67228e20aa59,0.835,True
2be08bad161c,0.834,True
74b309291383,0.834,True
d32ca3bb9c28,0.832,True
ee520379517d,0.832,True
1215ff0866d0,0.83,True
a6e26598507f,0.83,True
5cfb8199b219,0.829,True
251ea1429381,0.828,True
9277e816742e,0.828,True
9328240d9948,0.827,True
62e11edd3bce,0.827,True
c1d441a4458a,0.827,True
14d03bf824d0,0.826,True
e51ff299cf9b,0.826,True
eeafb4c327d9,0.826,True
a1539583ce60,0.826,True
5bf3b799addb,0.826,True
9fd2142ef988,0.826,True
24e13546fe95,0.826,True
8855c1c13a67,0.826,True
5ca634fdb686,0.826,True
96eca5ca4b80,0.826,True
c6fe6183f1d6,0.826,True
7c105c859696,0.826,True
fe20201cdee7,0.826,True
9d63499d35d8,0.826,True
401e031fd7ea,0.826,True
4124047b2fb3,0.826,True
f9b769f3cbcb,0.826,True
385b8099cad3,0.826,True
7751e9831307,0.826,True
84e210e9b0d9,0.826,True
d2ba21546f4f,0.826,True
56d0de40d3da,0.826,True
48bd11aaacf3,0.826,True
345301e0bf36,0.826,True
d2fd2cabcad4,0.826,True
5ec43fea0466,0.826,True
9b892d6bfd85,0.825,True
bfdf475a4da8,0.825,True
b1d18cf2b640,0.825,True
9be88ab380f0,0.825,True
ea6ae5f32821,0.824,True
743b35494e07,0.823,True
536bb2778591,0.823,True
07aea07ddfc0,0.823,True
35bd03425881,0.822,True
eb6673076b98,0.822,True
3a9d73447199,0.821,True
9f4fdda64e15,0.821,True
7b31dd5730a5,0.821,True
ec3514334cb6,0.82,True
bb693f76dcb1,0.819,True
28dceb27e8ff,0.818,True
c5263fd186f2,0.817,True
2480faf0c66d,0.817,True
426f0b96daf5,0.816,True
6eb7ed276dcd,0.815,True
44bd44a3f766,0.815,True
819fdc013794,0.813,True
ee21b7c986a6,0.812,True
469b20af04da,0.811,True
9d11a505a8eb,0.811,True
1dc6098bb791,0.81,True
f8153b186f2a,0.81,True
deffa62b1bcc,0.809,True
acc5d4b39d90,0.809,True
e211e0c61624,0.809,True
15ecd618279d,0.808,True
021674d196e2,0.808,True
052fb893faca,0.806,True
66e4fc0d0591,0.806,True
b35876b9f441,0.806,True
97b9d0b82988,0.805,True
45d153b9a96e,0.805,True
4e2b82d9d29b,0.804,True
f4f7db59104e,0.804,True
f68fb21a4a0c,0.802,True
589bcfe9d1b6,0.801,True
680a924eb8f8,0.801,True
85323a4fc301,0.801,True
1f4eb3462ea3,0.801,True
fc390d0bfe19,0.801,True
7413aa6baf38,0.801,True
7ee991eb99e6,0.801,True
7f316f3cfff6,0.799,True
92dc7c44d1dc,0.799,True
7e2a0e384056,0.798,True
af80985c0661,0.798,True
0aa909ab18e8,0.798,True
703f72e1c94e,0.797,True
05d08acafa14,0.797,True
a012093bfd76,0.796,True
278a3fa36c69,0.796,True
9574c264949a,0.795,True
de8c2de509ce,0.795,True
