AUC_ROC,AUC_ROC_CI,PR_AUC,PR_AUC_CI,precision,precision_CI,recall,recall_CI,macro_F1,macro_F1_CI,model,window_months
0.707,0.012,0.168,0.01,0.136,0.007,0.612,0.039,0.513,0.007,Logistic Regression,1
0.673,0.021,0.153,0.011,0.178,0.017,0.164,0.011,0.554,0.008,Random Forest,1
0.723,0.005,0.225,0.017,0.159,0.007,0.529,0.026,0.551,0.008,XGBoost,1
0.713,0.011,0.185,0.016,0.136,0.005,0.622,0.025,0.512,0.006,Logistic Regression,2
0.692,0.017,0.161,0.01,0.189,0.007,0.141,0.005,0.552,0.003,Random Forest,2
0.736,0.005,0.246,0.019,0.169,0.008,0.532,0.02,0.561,0.008,XGBoost,2
0.728,0.009,0.205,0.015,0.139,0.004,0.647,0.023,0.514,0.005,Logistic Regression,3
0.71,0.011,0.168,0.009,0.212,0.007,0.138,0.006,0.557,0.003,Random Forest,3
0.745,0.007,0.256,0.019,0.171,0.007,0.533,0.024,0.564,0.007,XGBoost,3
0.735,0.01,0.212,0.015,0.141,0.004,0.662,0.018,0.515,0.006,Logistic Regression,6
0.726,0.011,0.183,0.01,0.22,0.016,0.127,0.011,0.555,0.006,Random Forest,6
0.761,0.003,0.286,0.023,0.186,0.005,0.542,0.029,0.578,0.005,XGBoost,6
