feature,importance
num__nota10_hash,0.27087617
num__n_wifi_days_2022_9,0.19760652
num__n_wifi_days_2022_10,0.14999148
cat__campus_hash_60f19cd67252161d,0.10869285
num__resource_events_2022_10,0.096534714
num__n_resource_days_2022_10,0.071444735
cat__campus_hash_9103a6c82e355433,0.065917194
num__resource_events_2022_9,0.061667718
num__pft_test_submissions_2022_10,0.06085166
num__pft_assignment_submissions_2022_10,0.055948697
cat__campus_hash_8138689887e6817e,0.054917578
num__pft_days_logged_2022_10,0.05365413
cat__dedicacion_TC,0.052026972
num__pft_events_2022_10,0.04916227
num__pft_visits_2022_9,0.040076036
cat__campus_hash_infrequent_sklearn,0.03844196
num__pft_total_minutes_2022_9,0.038108062
num__pft_days_logged_2022_9,0.036055267
num__pft_events_2022_9,0.03382245
num__pft_assignment_submissions_2022_9,0.032815434
cat__campus_hash_0448d563bf72277a,0.03163982
cat__tipo_ingreso_NAP,0.028978571
num__n_resource_days_2022_9,0.026572486
cat__desplazado_hash_A,0.025008362
num__pft_visits_2022_10,0.023371996
num__pft_total_minutes_2022_10,0.022895036
cat__estudios_m_hash_F,0.020494597
num__pft_test_submissions_2022_9,0.014487115
cat__dedicacion_TP,0.013188095
cat__campus_hash_52025890fa603dbc,0.012707508
cat__estudios_m_hash_T,0.0116502745
cat__estudios_p_hash_F,0.0111675905
cat__estudios_p_hash_T,0.010083585
cat__campus_hash_79df3742da86cfd4,0.009935731
cat__estudios_p_hash_L,0.009796069
cat__campus_hash_6781b441c78d2643,0.0092080375
cat__campus_hash_86348ea0bf50ebf0,0.008677921
cat__campus_hash_4e808094851fc2ea,0.008635082
cat__campus_hash_1a9d786be0ff0bfe,0.007070311
cat__estudios_m_hash_L,0.006785396
cat__campus_hash_e4f95d56d90df35e,0.00639792
cat__desplazado_hash_B,0.0062865326
cat__campus_hash_f01a95a004153cb8,0.005230473
cat__campus_hash_5d9d4510699dac58,0.005174244
cat__tipo_ingreso_NCF,0.0049475157
cat__estudios_p_hash_M,0.004257489
cat__campus_hash_0f01a84bff1b2bf4,0.0041546756
cat__tipo_ingreso_NTE,0.0021899396
cat__campus_hash_85ff657216cc9b54,0.0017771323
cat__tipo_ingreso_NLE,0.0016083699
cat__campus_hash_16a36e86f6fed5d4,0.0015869691
cat__tipo_ingreso_NAI,0.0013883113
cat__campus_hash_40f5b57b09f073ed,0.0011443018
cat__campus_hash_3ca0e4af1c44f084,0.0009140146
cat__estudios_m_hash_M,0.0008505585
cat__tipo_ingreso_NRO,0.00077511545
cat__campus_hash_f32b702fba23083f,0.00066223275
cat__estudios_m_hash_R,0.00036835135
cat__estudios_p_hash_R,0.00023953152
cat__tipo_ingreso_NCA,5.940797e-05
cat__tipo_ingreso_NSA,0.0
cat__tipo_ingreso_ANT,0.0
cat__tipo_ingreso_NIE,0.0
cat__tipo_ingreso_BMA,0.0
cat__tipo_ingreso_NSC,0.0
cat__estudios_p_hash_P,0.0
cat__estudios_m_hash_P,0.0
